Metabolites,"median, healthy","range (min), healthy","range(max), healthy","median, cancer","range (min), cancer","range(max), cancer"
Formic acid,0.64,0.17,0.92,0.9,0.24,1.98
L-Phenylalanine,4.81,2.23,6.82,7.75,5.57,13.34
L-Tyrosine,1.27,0.92,1.78,1.67,1.09,2.88
D-Glucose,3.83,1.51,4.89,3.1,1.22,5.79
L-Lactic acid,6.71,4.03,8.4,7.1,5.73,10.96
myo-Inositol,15.22,9.44,21.58,12.98,7.24,17.04
Glycerophosphocholine,0.72,0.2,2.19,0.65,0.21,2.69
Phosphocholine,1.95,0.92,5,1.74,0.51,3.13
Choline,1.46,0.27,2.89,1.36,0.17,2.56
Creatine,0.7,0.46,1.59,0.94,0.47,2.16
L-Aspartic acid,2.39,1.75,3.25,2.53,1.56,3.46
Citric acid,11,6.74,17.31,8.79,6.97,13.86
Glutathione,2,1.44,3.1,2.84,1.6,3.32
Succinic acid,0.49,0.27,0.78,0.6,0.41,3.39
L-Glutamic acid,6.64,4.51,10.76,6.5,4.52,8.11
Glutamine,17.41,15.51,19.88,17.81,15.6,19.91
Acetic acid,1.5,0.91,2.01,1.68,0.63,2.19
L-Lysine,8.73,7.37,9.9,8.81,7.27,16.83
L-Alanine,3.59,1.57,5.27,4.1,2.52,7.06
L-Threonine,6.61,1.18,13.12,3.99,2.36,8.26
L-Isoleucine,1.59,0.47,1.92,1.8,1.22,3.47
L-Valine,1.28,0.72,2.21,1.65,0.78,2.69
