Assay RT - PCR,FC: WTH+H202,SD: WT+H202,p - value:WT+H202,FC: p53-/-+H202,SD: p53-/-+H202,p - value: p53-/-+H202,FC: p53-/-(+p53)+H202,SD: p53-/-(+p53)+H202,p - value: p53-/-(+p53)+H202
Aurkb - Mm01718140_m1,-1.78,0.17,0.033,1.3,0.13,0.69,-2,0.14,0.036
Bub1b - Mm00437811_m1,-1.84,0.1,0.021,-1.2,0.11,0.202,-1.9,0.14,0.003
Bub3 - Mm00477690_g1,-2.01,0.17,0.056,-1.1,0.11,0.363,-3.29,0.15,0.033
Cona2 - Mm00438064 m1,-1.87,0.12,0.001,-1.2,0.13,0.236,-1.88,0.16,0.004
Conb1 - Mm00838401,-2.58,0.1,0.023,1.2,0.18,0.875,-1.9,0.15,0.022
Conf - Mm00432385_m1,-1.83,0.12,0.047,-1.13,0.15,0.648,-1.69,0.13,0.014
Cdc20 - Mm00650983_g,-3.19,0.1,0.05,1.4,0.16,0.833,-2.5,0.14,0.003
Cdc23 - Mm00617631_m1,-1.44,0.15,0.04,-1.1,0.13,0.711,-1.5,0.18,0.035
Cdc2a - Mm00772471_m1,-1.86,0.14,0.022,-1.1,0.18,0.621,-2,0.11,0.002
Cdc6 - Mm00488573_g1,-2.27,0.11,0.085,1.1,0.15,0.535,-2.7,0.15,0.014
Cdca2 - Mm00558459_m1,-3.27,0.14,0.011,1.2,0.1,0.693,-2.5,0.1,0.03
Cenpe - Mm00620549_m1,-1.48,0.12,0.119,-1.39,0.13,0.654,-3.5,0.15,0.028
Incenp - Mm01198109_m1,-2.14,0.08,0.003,-1.56,0.07,0.651,-1.98,0.1,0.031
Kif20a - Mm00436226_m1,-1.99,0.12,0.011,-1.39,0.05,0.714,-2.48,0.12,0.005
Kif2c - Mm00728630 s1,-2.32,0.14,0.012,-1.36,0.13,0.804,-2.8,0.1,0.01
Mis12 - Mm00508986 m1,-2.09,0.12,0.045,1.1,0.1,0.502,-1.87,0.12,0.036
Plk1 - Mm00440924_g1,-2.59,0.07,0.007,-1.2,0.17,0.989,-2.04,0.11,0.003
Sgol1 - Mm00652084_mH,-1.99,0.06,0.05,1.1,0.03,0.593,-2.02,0.15,0.034
Spag5 - Mm00840133_m1,-2.37,0.06,0.001,1.7,0.13,0.841,-1.83,0.19,0.002
